City ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Henties Bay,40,NA,1612652293,89,-22.116,14.2845,64.99,1.99
1,Hofn,98,IS,1612652145,92,64.2539,-15.2082,32.9,18.37
2,Cape Town,20,ZA,1612652293,83,-33.9258,18.4232,72.0,9.22
3,Dikson,89,RU,1612652294,86,73.5069,80.5464,-28.75,9.57
4,Tuatapere,1,NZ,1612652294,50,-46.1333,167.6833,70.03,1.92
5,Contamana,55,PE,1612652294,88,-7.3333,-75.0167,80.04,2.13
6,Port-Gentil,40,GA,1612652294,89,-0.7193,8.7815,80.6,5.75
7,Rikitea,100,PF,1612652294,69,-23.1203,-134.9692,78.44,9.95
8,Sitka,40,US,1612652100,69,57.0531,-135.33,35.6,14.97
9,Kiryat Gat,2,IL,1612652295,100,31.61,34.7642,57.0,2.62
10,Kysyl-Syr,52,RU,1612652203,82,63.8986,122.7617,-35.66,6.8
11,Tasiilaq,75,GL,1612652295,55,65.6145,-37.6368,35.6,29.93
12,Butaritari,100,KI,1612652295,80,3.0707,172.7902,81.3,20.31
13,Torbay,90,CA,1612652296,100,47.6666,-52.7314,41.0,19.57
14,Cochrane,90,CA,1612652296,71,51.1834,-114.4687,-5.8,6.91
15,Hermanus,55,ZA,1612652296,90,-34.4187,19.2345,68.0,3.56
16,Castro,0,BR,1612652296,76,-24.7911,-50.0119,62.92,8.99
17,Tiksi,100,RU,1612652297,84,71.6872,128.8694,-24.63,4.68
18,Cabo San Lucas,1,MX,1612652205,60,22.8909,-109.9124,78.8,11.5
19,Mar del Plata,20,AR,1612652115,68,-38.0023,-57.5575,66.2,12.66
20,Clyde River,1,CA,1612652297,84,70.4692,-68.5914,-13.0,2.3
21,Cidreira,58,BR,1612652297,73,-30.1811,-50.2056,70.95,4.74
22,Puerto Ayora,0,EC,1612652298,62,-0.7393,-90.3518,86.0,16.11
23,Samaná,20,DO,1612652298,78,19.2056,-69.3369,80.6,10.11
24,Kapaa,20,US,1612652298,49,22.0752,-159.319,73.4,6.91
25,Altay,75,CN,1612652298,88,47.8667,88.1167,21.52,4.18
26,Lüderitz,0,NA,1612652104,57,-26.6481,15.1594,70.3,21.43
27,Albany,20,US,1612652299,40,42.6001,-73.9662,30.2,13.8
28,Punta Arenas,75,CL,1612652127,51,-53.15,-70.9167,57.2,24.16
29,Hamilton,1,US,1612652299,30,39.1834,-84.5333,39.2,3.0
30,Naze,75,JP,1612652116,77,28.3667,129.4833,62.6,3.44
31,Vaini,75,TO,1612652300,89,-21.2,-175.2,82.4,6.91
32,Hobart,75,AU,1612652101,59,-42.8794,147.3294,64.0,12.66
33,Busselton,100,AU,1612652300,97,-33.65,115.3333,57.99,1.99
34,George Town,20,MY,1612652274,83,5.4112,100.3354,78.8,7.05
35,Lebu,65,CL,1612652301,86,-37.6167,-73.65,60.76,3.11
36,Bambous Virieux,40,MU,1612652108,78,-20.3428,57.7575,78.8,4.61
37,Thompson,75,CA,1612652108,62,55.7435,-97.8558,-25.6,14.97
38,Vestmannaeyjar,34,IS,1612652111,72,63.4427,-20.2734,39.31,29.73
39,Manacor,75,ES,1612652302,82,39.5696,3.2096,59.0,6.91
40,Esperance,90,AU,1612652122,94,-33.8667,121.9,59.0,11.5
41,Río Gallegos,20,AR,1612652166,27,-51.6226,-69.2181,64.4,16.11
42,Port Hardy,75,CA,1612652302,75,50.6996,-127.4199,44.6,12.66
